AIBL,AIBR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,BAGL,BAGR,OLLL,OLLR,OLQVL,RIBL,RIBR,RID,RIML,RIMR,RIVL,RIVR,RMED,RMER,RMEV,SMDVL,SMDVR,URYDL,URYDR,URYVL,URYVR
101.1760419,137.985288,242.0367414,189.6632907,243.2318153,52.05452385,29.19030024,42.83964925,117.2305805,44.04479266,74.55292575,41.75394673,43.39606449,145.0127936,52.05452385,69.6511466,23.19809608,140.1271207,131.836409,0,197.7165009,129.7847363,140.6521355,149.8710612,102.6336281,12.03281608,24.0186608,65.27983175,10.63869425
107.4060684,169.7548336,310.3806101,232.102565,156.0764588,29.50108962,21.53553293,50.59137977,46.93662466,26.24850462,34.02382578,25.15106197,33.39535807,53.89695812,29.50108962,40.88355824,39.87626773,164.697863,67.16210282,2.844075828,112.1556577,83.82001907,82.58219279,71.00877214,72.7207329,10.12923336,29.1596858,53.54053244,19.70877593
166.5329743,204.4390375,381.6239874,258.654487,125.0123348,22.7036465,31.279773,59.62978901,61.37099076,40.04735934,32.1093086,24.96327176,35.20660303,31.42424403,22.7036465,38.47417607,47.31674016,151.4339005,54.61880316,5.604245487,80.82499153,69.27092463,65.55100834,51.17408707,56.84036748,17.02793581,35.66614159,48.07170453,30.35820053
226.1726679,250.3755584,413.0588456,261.9282308,102.9761375,13.64584754,36.62008856,71.38886397,62.55437646,44.5570104,29.99545488,25.21689038,42.20487682,17.44328922,13.64584754,18.47461882,56.86315938,145.9167864,45.9368932,10.40914966,66.24898893,55.95377106,53.16305609,41.20697126,48.26179535,15.76997226,41.04761848,41.62783566,28.57753209
281.3185767,249.7240512,415.494985,281.1696488,93.66920479,10.30414642,45.23833198,66.99137647,79.09615794,47.07543038,28.35701372,26.08219013,44.85419013,14.98896427,10.30414642,15.87018932,63.86932264,104.3389109,41.51662674,19.14381849,52.95926327,39.63703244,47.56001345,32.41367618,54.82493219,17.27153445,39.88031615,34.42714288,29.25770551
370.0689453,252.3192164,433.9780792,272.1267869,70.02434901,10.92054606,53.74618172,77.12021134,92.23700736,52.51337538,23.42114362,24.04581401,51.61560224,5.032738873,10.92054606,14.90043877,95.95574318,131.2621698,36.40371389,18.52221175,47.71469948,34.79396062,39.16022397,31.47129668,48.21525839,36.35931616,51.66299376,35.33525302,34.99030179
361.1347562,254.6891171,434.2420199,257.2502069,57.92581747,7.360885731,53.8595179,77.67069019,62.13667821,49.82401455,32.40936786,19.64618996,55.54492384,8.128810763,7.360885731,10.35983393,94.14673543,109.3610703,39.92407147,35.41462746,37.14662577,33.76591708,26.07405814,16.6162058,65.44144034,21.15988927,56.36806373,31.96298968,38.49561826
350.5528694,255.7736057,411.6011788,262.9149862,54.79813482,6.299542153,67.58713319,79.00083679,82.49182761,54.41080609,35.51471288,26.42820297,45.3486419,11.51281466,6.299542153,10.5962824,104.3137886,106.4021224,40.59311814,52.22198434,28.41724656,31.08562325,34.19130043,13.26803315,67.47355026,17.79745113,73.19925635,31.79886594,40.82709386
336.4865539,258.3450007,391.1496267,264.3977453,54.18445886,7.526721309,69.80509033,78.40807033,97.03829263,60.47395095,29.17694845,27.06017056,46.0227574,4.98094674,7.526721309,6.429027451,110.7815356,97.29936493,37.74671442,80.84959153,24.57209351,29.88971304,23.52956115,16.13570079,77.30741807,10.2566831,78.83458219,24.44203498,41.15803422
313.1237939,255.802727,393.7261503,262.8376087,44.12852452,8.10763362,69.2973066,77.41792323,90.73139154,56.70028593,24.73903631,28.86829584,46.3928222,9.585776634,8.10763362,14.02314614,104.7399142,90.74240315,33.79863586,115.2860675,23.94865198,27.03619369,19.27945529,6.39910998,95.42067213,17.7176472,76.22189504,25.02196053,51.98199195
305.6880871,253.2296879,373.6706092,261.0884644,38.14425237,8.136651473,78.44201214,74.71452571,89.94190782,70.87605514,27.75564247,29.40201577,42.55461669,9.178921669,8.136651473,9.173680519,113.1521763,101.2780267,31.72547676,139.6702578,19.35582838,23.17516893,20.14267791,6.726684303,97.07767654,15.6054797,76.5813291,22.90557843,55.12174937
307.486133,238.3506953,376.7793919,254.4174107,33.68595077,3.618136884,77.24899653,70.5969454,88.56116131,63.30685405,15.43808447,24.1849188,40.62615118,8.148726321,3.618136884,5.883816306,115.5697489,99.2394852,34.43711783,145.3696723,15.59856865,23.71098393,18.13625259,2.886282093,104.6521729,13.64782834,84.49586689,17.43013533,47.76144349
309.6031065,241.7813158,374.5617682,267.4070266,30.45862999,13.2685764,78.07557436,74.88037999,79.98715125,73.24599386,20.7143413,28.01555314,37.17127004,12.29195212,13.2685764,5.467638029,111.5916028,87.58738693,37.85569034,166.9060111,14.32687725,21.82691687,21.36498255,3.166492608,116.2941447,9.588628458,85.18816503,13.9419598,55.0246125
323.3631255,246.365413,371.8351952,258.9437097,23.6789404,9.288942893,73.84338145,73.73561855,77.56468518,88.31144736,23.96785612,28.08806867,37.59137823,4.995307343,9.288942893,3.61849779,114.059368,94.6833204,32.98420675,157.4747637,15.33748877,20.89251353,18.70169182,5.39640749,103.6986094,10.7977703,85.83160201,18.08489838,56.59540526
349.7410094,265.2294638,354.3288546,278.7497193,26.8631065,13.28493171,92.26279834,92.72152891,96.60381356,94.68807877,31.93816529,40.12312592,46.48092384,11.10711022,13.28493171,10.26385723,125.2389033,102.6342187,39.43646067,113.0409843,18.61776827,26.44118455,16.03072073,18.98545849,71.48718549,22.18134165,92.46773322,24.78205412,51.0868381
337.1112861,237.2066146,382.3307479,279.475337,21.84317611,9.764723149,92.494427,80.42492061,88.24868612,100.391625,32.11372464,40.64428513,50.83594393,6.109527287,9.764723149,7.098829902,148.9470352,103.8060408,29.84906075,88.32685155,13.87719434,27.28645238,16.8515685,17.00185768,55.71523279,27.42034064,88.96842118,33.17618809,56.82036887
320.596112,237.1436119,385.2180031,274.6289199,18.71752162,2.312742543,97.05538855,91.65885182,94.14050533,94.71325424,29.34899022,40.42089738,52.30598624,0,2.312742543,8.739130981,148.4907486,110.1257754,30.5864701,67.60850563,6.495442767,21.46052555,15.55033573,15.05285227,35.53865799,29.48911437,93.6095693,31.48267816,56.39705659
314.2454973,233.0504163,360.8263496,268.9535003,11.26860065,6.625560502,89.61666189,74.83234438,86.46415529,89.99246815,39.60441914,32.53881289,50.17621375,6.469786137,6.625560502,8.858611792,155.1221666,96.50563666,29.58872662,68.36488136,7.837476902,16.01956735,15.91286828,20.04633182,34.22803851,37.68970662,89.95059553,33.7063907,55.6568681
317.7864857,230.3875495,385.15184,253.978649,14.67832637,3.650798776,94.08355773,89.65205394,86.0547903,90.60398915,30.06148492,36.49296702,50.0381271,0.27687232,3.650798776,4.434186227,188.5450271,115.0263639,35.72514158,57.66193276,5.633310123,17.42293772,9.728988848,21.79425287,25.92869607,41.67527408,85.63662386,34.86869785,52.49682105
305.3443029,226.0493824,382.6891977,249.1942273,7.380907062,7.748895666,93.51146541,78.70917526,80.31951183,82.63599759,31.00560284,30.50190131,42.81917879,0.963164894,7.748895666,3.918423581,162.016538,100.0305035,56.02420439,45.30263489,5.217582672,17.68407328,9.723128877,32.10980191,11.16221329,51.81096147,76.57275324,30.85025978,44.95199794
286.5875016,188.9275078,351.4726302,217.6394166,4.51581905,72.67650264,95.0812199,64.97767235,72.80094899,95.17162931,25.12199612,29.99837378,50.02441116,17.30938423,72.67650264,7.436449517,151.2933288,75.57322868,104.4432103,41.743204,4.908230006,32.39458873,8.226936365,64.25116475,3.367271941,60.50746867,65.09353299,28.00586511,33.63119065
212.6398209,126.9070106,292.0446609,167.1161052,44.25037716,187.1053481,82.04592884,49.39327091,71.67751404,89.32743059,10.99818663,20.78640147,38.39332937,161.7318128,187.1053481,30.66857703,120.4103831,40.61412717,133.4378198,40.90318361,9.667988972,53.04416483,18.90745518,91.1062024,2.051575267,52.10462388,50.95090335,29.24923398,31.382352
164.5650292,89.22841598,216.1822201,147.2907217,75.88285875,236.4518084,63.49071091,44.94152775,115.5715391,118.4705083,23.10525806,24.9207962,43.8508187,294.076831,236.4518084,74.549302,100.1387858,34.00739928,121.1075871,27.51767101,25.02014511,89.38716266,34.20256114,148.0092804,4.707744278,40.23599943,43.59769152,25.31152888,29.53482394
134.8430133,89.93088656,160.0798054,98.91240685,100.6579657,235.0706714,56.10737646,41.78897337,126.3951514,124.9431295,25.09931337,5.396448061,41.88948246,353.0601877,235.0706714,87.53602983,81.89608634,36.18682875,112.8301155,21.53483704,27.99293497,115.8133848,48.62826544,179.2508908,15.46941083,34.1758035,44.10367801,24.74602679,21.6501794
125.0773889,76.62947453,142.8243883,70.58568245,124.5661494,255.0426038,52.40319965,28.27043781,120.9173327,121.3324873,26.87763428,0,33.7716119,384.430812,255.0426038,90.95248753,69.20931222,27.67914401,99.95805668,15.85294904,36.37807081,145.3194915,46.63492773,199.6071811,9.103371831,28.95174916,37.12729436,18.52966985,18.93759998
122.169388,58.4016755,119.9698623,73.01793011,151.4909804,250.0479657,45.00052385,25.96214786,115.7408516,129.3632932,28.55799888,30.23793565,28.33848669,374.3107604,250.0479657,101.617467,58.89021251,14.90031381,114.2572013,18.07515248,48.18236072,167.769723,51.43795271,205.8329375,15.51606887,23.16979194,32.83102791,18.2593106,22.51635625
98.73532714,52.73683022,97.82200115,54.21154332,175.9427548,240.9697128,45.35467276,18.06911514,108.4441845,99.53725703,8.156177156,16.20787103,26.33823985,368.7725965,240.9697128,94.92327318,41.24870045,20.49330555,124.2039902,16.11377308,54.55084073,189.8513035,51.0457563,181.5656213,34.56012004,21.1177548,30.19630514,12.92842697,12.61589435
72.15977415,43.71093809,79.28772949,45.77693399,192.5584633,238.2719779,32.75547531,20.06813825,100.0888108,93.74520394,21.38268128,12.57801866,26.70271001,377.0589839,238.2719779,115.8122399,35.46905175,14.85950745,90.42391273,13.07142645,64.34423557,186.9320694,64.55194448,176.4542942,55.21053456,21.5827362,20.63463029,18.84244915,11.57667053
75.76687848,34.42463041,72.41326601,39.75914636,200.8051945,238.0510452,41.24536237,18.08368762,108.651654,116.7443772,29.42007399,9.316277284,25.13891604,373.7505413,238.0510452,119.1927967,27.17067608,13.77745689,95.18761917,15.66650746,78.67452988,182.7808019,73.12835853,157.4677424,62.00106789,17.34334673,25.41916424,15.64672318,9.890301632
61.85255654,28.69106384,61.34981398,30.6430376,216.4028895,222.6978371,36.52757073,28.68377829,95.42748877,101.8709297,26.02675938,12.9549284,18.09748494,360.1587582,222.6978371,120.1221597,26.71271152,17.98729128,101.7156816,14.66954308,88.0524763,167.3028265,75.56830801,161.2638932,104.9431069,20.9373738,23.76939086,15.21994434,7.259157633
58.14262401,22.42576648,57.10222816,27.13305631,214.9062591,234.0499474,42.01415161,18.91983574,100.0178893,79.59735156,19.53378398,18.64963132,16.0371336,357.8548515,234.0499474,118.2352433,19.29454402,16.8019467,103.8299601,14.81662551,97.31635175,175.0795224,76.0565398,171.4205812,127.4755372,11.71678428,24.07691862,15.08922343,5.902831361
48.36277662,21.81346955,49.07162301,25.82764906,218.3298209,203.3901339,32.78013133,16.54021076,92.32548991,109.6329885,12.21754351,13.40919516,12.82978025,373.6359498,203.3901339,116.2761262,19.27175255,16.96900439,119.1732033,17.9586733,104.0841304,187.982287,81.8296949,133.9388019,172.4122096,9.997283638,23.68663028,14.23709675,15.07345084
42.12007357,19.62106932,44.44641156,21.64724622,211.5781197,156.2898161,34.01044556,16.3370798,115.4230826,140.2826365,18.78183047,16.62765547,14.80477075,301.9498719,156.2898161,113.6069994,14.68165315,14.30401872,97.77923453,15.77252301,99.71200761,177.3800259,85.14862914,105.3979088,119.3028011,17.98294155,24.90333452,17.76315304,6.646423021
46.55254991,26.80151716,47.30463035,20.89356493,197.5014872,147.5316968,29.01945201,14.83119646,109.786251,133.0299416,17.73703049,21.80580191,16.18257455,248.8878971,147.5316968,109.9072879,16.7523137,15.02411815,145.9230735,18.41500997,99.45891672,192.2787952,94.74399596,133.8365014,82.08012655,23.97661477,33.08887303,30.1833912,6.498579574
56.32350633,17.82664697,42.44054689,13.32813404,180.3471259,162.8231906,21.58823077,13.24416401,98.50190065,139.2675746,12.67904635,17.98717697,15.09149417,240.27136,162.8231906,88.69653755,15.5632373,11.30973859,187.3290826,8.513735399,100.9865119,185.8870201,88.47491867,143.9406337,58.41393429,29.17989985,24.33079438,34.72719183,7.489969549
45.34178236,15.82063719,35.87279575,15.09888662,191.245007,171.8481219,20.98727466,9.902363623,111.9874612,111.3430468,9.365032391,10.10508678,18.17546655,289.0945729,171.8481219,96.71378063,11.82086791,15.51272321,184.9838681,15.49174599,113.6151679,192.6303822,88.1551659,143.2055938,57.97160919,21.62825671,27.63267305,35.06907826,4.120063096
45.95206787,26.00302738,30.688454,9.350680146,185.6868227,155.6065251,22.97493304,13.84807242,120.9172797,94.88608049,7.251222573,9.8699645,17.27366029,253.866514,155.6065251,85.32127772,10.95323486,13.5125046,186.7333979,14.79137744,121.9628581,187.7564263,96.19904704,159.2565451,49.21862992,32.62743907,25.78712167,35.20506887,6.377800104
46.00945714,21.60042217,33.73430285,13.58699926,169.0858309,133.9033332,23.15118727,8.980681399,113.2295937,115.8071182,13.51253773,14.75205027,17.70579518,247.9523105,133.9033332,95.43638118,11.27929193,15.56025399,174.3228902,13.63048434,124.4582752,189.1070599,92.34563225,165.0803855,55.09368842,24.20977133,16.61541455,42.67754118,10.29192102
55.58835813,12.70046581,28.84967606,12.47369759,174.4107935,195.7015234,23.56750883,8.123258001,97.33765392,66.57902461,12.00816075,7.33436332,19.9154505,259.0872931,195.7015234,100.249526,7.090534213,10.80606262,146.1975245,14.63040794,124.4780504,180.6486311,94.62717672,128.3255439,58.37902614,29.3818931,12.2115431,42.53114966,5.859229673
48.80912941,16.67255565,26.12218226,11.51715689,179.7172367,182.7859622,20.53291524,10.50854106,95.28178535,57.22554955,23.01996762,14.97786164,13.22981061,326.9764466,182.7859622,115.1479387,3.585520356,13.39018487,106.4277965,10.83589614,123.9615441,171.7096771,104.0685929,120.1717085,89.58468105,18.74081499,10.53424776,41.89978405,6.245259859
45.88966525,13.28854212,18.0822255,8.83248725,186.3225836,182.7553264,22.35992835,6.919616316,101.6043732,61.51129345,15.83138361,12.41992933,14.68798565,319.5115994,182.7553264,125.6978068,1.29613404,9.76565733,71.54090732,19.71060739,128.9484777,155.729948,113.0565126,79.1427851,110.336558,19.40549272,15.23872076,29.57256094,8.531191646
34.70091082,21.34267005,21.710819,15.32406153,180.8937198,147.1539382,21.59949593,9.329257458,117.9715338,63.88750591,20.98257284,16.62020431,11.84683484,270.5827025,147.1539382,117.1522357,0,12.34976796,67.6025615,19.94936265,122.9251797,150.0743435,107.025219,59.3613705,154.1423009,19.66166238,19.78794898,25.74911107,3.034209693
46.43149918,26.01294224,21.7545735,19.58386924,151.3087313,82.36264558,17.26822723,9.51497123,104.4855445,57.24904543,15.79873745,11.0693582,7.44641143,177.3140122,82.36264558,88.28378514,0.395282857,17.80094208,58.28949468,19.00011172,116.9644184,131.4372282,100.0466967,45.53176082,153.6842027,17.89409488,22.77261031,27.47933582,6.826732088
44.22809809,47.61367583,63.42961369,65.04823722,123.2282129,47.67392681,19.6611409,12.7626425,47.46057199,16.64784238,17.41161685,8.507041313,7.434285536,92.27014603,47.67392681,68.13530312,6.950182015,38.23018241,43.32031909,14.44410545,91.65809425,97.82223518,78.66634318,36.8443978,101.3984099,20.37794607,29.63726228,36.28011757,10.18761586
50.66227553,67.73556664,138.7875973,128.0116255,98.82585212,33.21864215,29.58797082,31.38918634,26.8207661,6.836683767,10.78442421,5.66314703,9.499009083,65.47858035,33.21864215,48.63645153,27.44993606,50.65950016,35.45107408,15.65247786,79.73471391,79.51767031,70.69697711,35.62983094,63.2305595,27.79865253,33.74146785,43.44375397,18.72662611
83.17361672,104.5704604,232.8340447,217.5816036,78.2978857,17.32996814,31.11112429,44.34165798,21.67707432,5.010375443,11.28508879,6.850936566,13.52100551,30.58784322,17.32996814,43.93728902,47.1303218,67.32138143,28.00346307,17.00330177,67.1757548,56.67531791,58.74021553,28.5819068,44.26610854,41.95452837,36.35323109,47.10193413,15.9097463
112.7277467,137.8159341,317.1441212,263.1369182,69.12816097,15.11007185,37.87044612,47.02749124,27.53135483,4.871083322,16.42656289,4.499087705,13.95242609,15.3913172,15.11007185,34.80016397,55.64647683,80.58439685,23.04023516,16.61917076,47.64326749,43.8719342,50.5142936,24.99959954,38.74432658,41.91871658,40.965896,53.62858996,18.94538954
148.0259742,161.5185111,365.0898924,284.9446639,53.69418396,9.548498641,48.61394697,51.90949474,30.6410062,9.052125747,24.74071402,7.299752803,19.64943628,26.39365026,9.548498641,32.69080181,73.15635626,98.90970275,28.19274746,18.49786847,43.71519791,42.61590105,49.52284136,25.95640229,31.76435832,48.01102285,38.91093858,59.39781534,25.99281232
196.7796359,191.7461572,387.2051923,292.6496697,42.17865645,1.580168916,52.41655312,66.39333187,35.7400755,7.745275743,12.87075288,11.20044647,24.06035184,11.5941731,1.580168916,25.5727659,78.55073586,129.2562659,22.04186159,13.78743515,37.32470683,30.49768717,36.0185706,16.06643087,31.44257692,47.69422878,57.67789341,55.93437712,31.73217818
277.0766562,256.1463801,396.3374619,300.3382267,37.72597155,3.817370792,60.84781374,70.66014012,42.11700528,16.25916818,23.32086667,12.70528687,33.46394287,10.19112013,3.817370792,18.82916231,106.2891608,151.717009,30.98849866,23.05207273,31.59778039,27.8163258,30.92017496,20.72853581,32.95092414,55.24635574,53.11011851,52.45734828,29.27005055
282.8919575,242.6486034,388.358952,305.7780473,36.65512946,5.70807548,69.19518184,78.04175058,60.05226537,22.63306713,25.43948201,19.09229536,41.51050847,14.95883179,5.70807548,13.099128,114.3574516,160.2920596,34.73114744,22.92254625,25.7094067,27.23130666,27.2770967,20.39667205,25.6043722,57.37345479,60.22567873,50.62829159,38.40029049
288.7552883,248.0431554,384.401136,291.114846,25.87724732,5.249750463,65.5641343,77.96817485,57.86315822,23.4459973,27.13610002,21.59288027,41.22429371,9.060961073,5.249750463,13.44688717,129.1928223,171.1052337,27.59465857,21.89119649,21.06183396,23.0534269,21.19516314,17.89038833,26.06245885,52.48176523,58.81976346,48.38657985,43.15430999
298.5285944,271.6765078,383.0674142,281.4224327,28.38721916,7.0246229,71.71220523,83.99912912,56.33967709,31.08582685,27.99932168,21.78346374,49.10103571,10.26180853,7.0246229,12.95958446,141.3986958,165.1795026,27.2511236,27.1376471,19.34900576,17.64101967,24.92257113,17.16430618,21.18065924,54.79051792,74.07605628,46.50191729,43.51908523
289.8705103,258.0895335,365.4428705,270.9643783,15.90891267,2.430656161,70.20856855,79.84575712,56.47362578,33.44189799,29.50313534,18.33671685,48.97554975,10.34586749,2.430656161,12.21588244,142.2378571,161.045087,20.35657344,27.35837888,14.47019646,13.53324118,19.77299994,11.76233935,19.85329862,55.10396507,64.80976906,46.58609166,41.30431385
282.0661838,247.7882661,365.8497436,253.2006398,20.0845416,3.566216977,71.02222098,87.23568674,69.44447817,40.68857969,28.13497899,11.33709363,47.28182631,10.44533901,3.566216977,19.17237798,159.6983888,165.7370369,21.58522244,27.09225787,12.03915789,13.56163138,15.65421686,15.17470192,15.87180113,55.34051368,72.82121306,45.04126293,30.90976443
284.7266025,253.0855984,375.6611104,264.6352249,15.75703397,1.734134555,76.99384404,86.46694575,57.96470213,39.68741053,32.49657933,14.30806661,51.78354315,5.871352072,1.734134555,12.08764418,171.7753731,158.7265595,26.37197834,22.66760544,11.43245754,13.71912395,14.50861064,10.04042561,13.13455752,52.31247617,75.61155205,40.54537149,39.5272987
284.5389381,253.8961113,364.8908036,252.133917,16.1847273,4.122281836,70.38399208,84.26025166,66.97303027,42.91973732,38.83471104,18.68001085,49.52555885,8.759721166,4.122281836,14.52614571,171.2375996,170.4276225,32.52117779,29.53220226,9.72947388,14.01361224,13.17527197,12.18263305,15.13690113,50.97956392,74.46891082,35.33338612,38.71919939
270.9859799,257.1245563,358.0767669,243.9490441,13.47550666,1.151381859,73.42691067,77.28431416,84.0392989,53.65158099,38.61856464,15.13202812,54.04832261,7.004443369,1.151381859,16.21436806,169.0814469,155.2841734,33.02796139,22.95692135,11.82389611,15.67225495,11.90120344,14.82474509,26.00284277,55.59869723,72.40916699,39.44371207,34.86566238
261.9397752,247.3156683,335.0203332,254.2476597,7.865856973,4.581057134,75.60038848,81.41620706,81.85194855,50.13520006,35.64530699,19.05583481,49.45157912,7.804905021,4.581057134,9.899484571,170.5437986,161.3948237,20.9477246,26.73460733,8.215158611,9.79069321,6.86699959,9.588869738,19.15493607,56.18855099,70.11314594,29.75311864,35.016883
271.0625672,261.5535746,347.273168,247.1235002,12.92282708,3.071794817,78.35201898,78.89629621,74.98408022,57.55420087,46.01620537,19.40364714,48.19140713,11.7613641,3.071794817,13.08281715,170.031201,159.431024,20.01978107,34.27601348,7.445096789,12.75340579,11.43307361,9.394297179,26.13798973,45.76902549,73.85909741,33.75870418,38.77791652
263.9431974,252.8741026,344.1630967,238.3932522,7.919265485,6.98668357,81.82126217,75.90923419,62.70829596,60.71841401,42.75135743,19.27233977,47.95275498,9.878016609,6.98668357,9.759702609,155.6233024,168.8280575,20.39569324,38.3104044,9.704197981,9.850201352,9.45862509,5.635939584,45.84652201,41.49133006,81.80735259,28.31969479,38.97808348
267.2593231,246.1505181,341.2936405,238.1410873,8.364262591,0,77.4559506,76.61572867,59.11987699,60.35729278,42.72259374,20.61434205,54.10526236,3.600825449,0,7.28073865,161.327466,149.413008,17.31020741,31.76685992,9.089133895,11.13950469,7.137043314,3.99932459,41.16460441,40.35160357,83.17544286,27.62832742,34.31352289
285.1745416,247.9391607,337.1212602,248.89277,7.562960723,4.882590899,89.15898501,67.56777598,71.24345784,72.75783265,37.2560541,22.20829847,54.39374821,4.861929956,4.882590899,14.81482194,157.1549014,152.6637791,21.97341235,30.88472352,9.963431631,19.56026646,11.94421127,1.281206986,41.27731207,33.53233908,89.02724086,28.83621348,44.88217872
253.233206,247.185271,323.013411,225.895777,7.09924836,3.614644423,92.96294932,70.9768849,76.69248262,66.8349035,42.4680182,16.59144498,50.43787272,5.337633126,3.614644423,7.005446505,149.9335775,151.8424821,24.42104336,23.50431989,6.155120572,9.975794287,8.607143683,8.884319685,31.90673145,42.94600036,72.32464995,32.37230929,38.97059156
252.9747784,240.8931748,330.4709232,226.1309073,2.570379128,7.231546136,92.33263831,81.66820508,79.75638547,70.25194269,38.09969342,17.87000322,50.74188589,5.014770373,7.231546136,3.670229748,152.5538141,153.9994798,25.08860867,29.74544765,2.093736947,10.77806472,7.903067453,7.062038637,28.96220862,41.48410351,83.38815394,36.96092077,46.01966336
258.7461788,231.782753,324.7751326,217.129159,5.081592143,1.036810785,89.57369598,82.5741566,81.66341479,66.61934927,40.0728696,16.96773636,59.06405808,11.23747112,1.036810785,6.283573499,167.7512187,149.9958693,27.2326861,30.96395406,1.31705783,8.214291341,9.165980639,15.76138528,28.31435391,49.75880551,82.03793195,40.92444518,51.03341548
